bytes_in,bytes_out,creation_time,end_time,src_ip,src_ip_country_code,protocol,response.code,dst_port,dst_ip,rule_names,observation_name,source.meta,source.name,time,detection_types,anomaly
8206,6068,2024-04-25T23:10:00Z,2024-04-25T23:20:00Z,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:10:00Z,waf_rule,0
29356,17408,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
26178,33801,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
29308,15652,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
60068,12628,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
4043,7629,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
3102,11038,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.8.79,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
8310,6070,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
5528,12010,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
4926,11570,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
7724,6288,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,136.226.80.97,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
80,528,2024-04-25T23:20:00Z,2024-04-25T23:30:00Z,192.241.230.19,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:20:00Z,waf_rule,0
23048,24124,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
28444,13468,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,165.225.212.255,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
5824,11568,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
10474,23244,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
4190330,283456,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,1
5080,11512,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
4220,11672,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,136.226.80.97,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
952,668,2024-04-25T23:30:00Z,2024-04-25T23:40:00Z,192.241.230.19,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:30:00Z,waf_rule,0
36745,28952,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
12068,25589,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
57462,20222,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,165.225.212.255,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
2015975,79990,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
4064,11384,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
33268,9986,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,136.226.77.103,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
7424,14656,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
4758826,289956,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
17736,36370,2024-04-25T23:40:00Z,2024-04-25T23:50:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:40:00Z,waf_rule,0
60686,35910,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
21698,21218,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
28296,7230,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
4721,8322,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,165.225.240.79,NL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
9968,6646,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
4791678,291275,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
10768,7248,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
3996,11776,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,147.161.131.1,AT,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
4220,11570,2024-04-25T23:50:00Z,2024-04-26T00:00:00Z,136.226.80.97,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-25T23:50:00Z,waf_rule,0
26354,13404,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
33777,20132,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,165.225.33.6,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
28762,43272,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
28478,13260,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,165.225.212.255,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
4288,11490,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,94.188.248.74,IL,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
8874,14968,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,165.225.26.101,DE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
4793434,292176,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,155.91.45.242,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
16948,20348,2024-04-26T00:00:00Z,2024-04-26T00:10:00Z,165.225.209.4,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:00:00Z,waf_rule,0
5810,13090,2024-04-26T00:10:00Z,2024-04-26T00:20:00Z,147.161.161.82,AE,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,0
28730,28386,2024-04-26T00:10:00Z,2024-04-26T00:20:00Z,136.226.67.101,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,0
29002,15654,2024-04-26T00:10:00Z,2024-04-26T00:20:00Z,165.225.213.7,CA,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,0
44270,21924,2024-04-26T00:10:00Z,2024-04-26T00:20:00Z,136.226.64.114,US,HTTPS,200,443,10.138.69.97,Suspicious Web Traffic,Adversary Infrastructure Interaction,AWS_VPC_Flow,prod_webserver,2024-04-26T00:10:00Z,waf_rule,0
